CampaignName	Impressions	Clicks	Ctr	Cost	Conversions_3024824726_LSC	Revenue_3024824726_LSC
Омега - Общая - Поиск - МСК	2238	117	5,23	1249,09	--	--
Омега - Горячая - Поиск - МСК	127	12	9,45	163,82	--	--
Изоляты - Горячая - Поиск - МСК	424	25	5,90	647,68	--	--
Изоляты - Общая - Поиск - МСК	1555	43	2,77	898,50	--	--
Динамические объявления - Поиск - Москва	4213	247	5,86	4500,96	--	--
Гейнер - Общая - Поиск - МСК	3922	254	6,48	3538,43	2	4295,00
Протеин - Общая - Поиск - МСК	8820	503	5,70	8917,53	2	5408,50
Протеин - Горячая - Поиск - МСК	8327	812	9,75	24348,91	8	33004,50
Гейнер - Горячая - Поиск - МСК	1089	149	13,68	3212,34	--	--
МКб по категориям - Поиск - Москва	33193	242	0,73	14007,43	--	--
Bcaa - Общие - Поиск - МСК	6325	141	2,23	2696,91	1	2110,00
Bcaa - Горячие - Поиск - МСК	2180	193	8,85	4547,34	2	11358,00
МКБ на конкурентов - Поиск - Москва	9769	35	0,36	4282,63	1	1590,00
Карнитин - Общие - Поиск - МСК	9137	532	5,82	13832,60	--	--
Карнитин - Горячие - Поиск - МСК	2373	265	11,17	5443,87	--	--
Ретаргет общий - Посетит 45 дн кроме покуп за последн 14 дн - Сети - МСК	11224	96	0,86	1958,70	--	--
Конкуренты - Поиск - Москва	23957	328	1,37	12394,19	1	720,00
Бренд - РСЯ - Москва	310	1	0,32	3,19	--	--
Карнитин - РСЯ - Москва	575	2	0,35	35,91	--	--
Bcaa - РСЯ - Москва	814	9	1,11	61,15	--	--
Изолят - РСЯ - Москва	15	0	0,00	0,00	--	--
Гейнер - РСЯ - Москва	390	7	1,79	95,48	--	--
Протеин - РСЯ - Москва	2990	44	1,47	540,82	--	--
Total rows: 23
