CampaignName	Impressions	Clicks	Ctr	Cost	Conversions	Revenue	BounceRate
Омега - Общая - Поиск - Казань	36	1	2,78	6,91	--	0,00	0,00
Изоляты - Общая - Поиск - Казань	148	3	2,03	37,96	--	0,00	33,33
Изоляты - Горячая - Поиск - Казань	57	10	17,54	100,79	--	0,00	75,00
Динамические объявления - Поиск - Казань	2095	185	8,83	3205,56	166	520,00	26,35
Гейнер - Общая - Поиск - Казань	268	11	4,10	125,44	3	0,00	33,33
Гейнер - Горячая - Поиск - Казань	135	14	10,37	235,24	1	0,00	8,33
Протеин - Горячая - Поиск - Казань	345	58	16,81	766,87	20	0,00	10,17
Протеин - Общая - Поиск - Казань	1019	57	5,59	615,60	8	0,00	24,49
МКб по категориям - Поиск - Казань	1815	8	0,44	455,45	4	0,00	0,00
Bcaa - Общие - Поиск - Казань	404	13	3,22	206,63	2	0,00	10,00
Bcaa - Горячие - Поиск - Казань	41	6	14,63	74,85	1	0,00	40,00
МКБ на конкурентов - Поиск - Казань	2022	4	0,20	780,71	2	0,00	0,00
Карнитин - Общие - Поиск - Казань	349	36	10,32	634,15	8	0,00	33,33
Карнитин - Горячие - Поиск - Казань	71	9	12,68	132,26	4	0,00	11,11
Ретаргет общий - Посетит 45 дн кроме покуп за последн 14 дн - Сети - Казань	7683	43	0,56	772,84	8	0,00	34,48
Конкуренты - Поиск - Казань	1524	8	0,52	270,58	--	0,00	40,00
Бренд - РСЯ - Казань	99	0	0,00	0,00	--	0,00	--
Карнитин - РСЯ - Казань	217	1	0,46	1,58	--	0,00	100,00
Bcaa - РСЯ - Казань	550	3	0,55	16,37	--	0,00	100,00
Изолят - РСЯ - Казань	39	0	0,00	0,00	--	0,00	--
Гейнер - РСЯ - Казань	298	1	0,34	3,86	--	0,00	--
Протеин - РСЯ - Казань	684	7	1,02	60,37	--	0,00	0,00
Total rows: 22
