CampaignName	Impressions	Clicks	Ctr	Cost	Conversions_3024824726_LSC	Revenue_3024824726_LSC	BounceRate
Омега - Общая - Поиск - НН	34	0	0,00	0,00	--	--	--
Изоляты - Общая - Поиск - НН	303	19	6,27	214,06	--	--	40,00
Изоляты - Горячая - Поиск - НН	80	5	6,25	39,78	--	--	40,00
Динамические объявления - Поиск - Нижний Новгород	3443	247	7,17	3600,52	1	2650,00	25,55
МКб по категориям - Поиск - НН	4741	30	0,63	2053,64	--	--	6,90
Гейнер - Общая - Поиск - НН	717	48	6,69	407,50	1	1690,00	14,89
Гейнер - Горячая - Поиск - НН	304	56	18,42	324,64	1	3040,00	5,77
Протеин - Горячая - Поиск - НН	881	118	13,39	1742,14	--	--	10,43
Протеин - Общая - Поиск - НН	1583	85	5,37	1039,92	--	--	12,05
Bcaa - Общие - Поиск - НН	856	11	1,29	143,75	--	--	25,00
Bcaa - Горячие - Поиск - НН	240	41	17,08	320,54	1	1349,00	21,05
МКБ на конкурентов - Поиск - Нижний Новгород	2022	1	0,05	237,60	--	--	--
Карнитин - Общие - Поиск - НН	930	58	6,24	932,18	--	--	30,00
Карнитин - Горячие - Поиск - НН	332	50	15,06	677,57	2	1280,00	20,41
Ретаргет общий - Посетит 45 дн кроме покуп за последн 14 дн - Сети - НН	28990	153	0,53	2533,52	--	--	30,84
Конкуренты - Поиск - Нижний Новгород	2058	20	0,97	553,98	--	--	12,50
Бренд - РСЯ - Нижний Новгород	1121	13	1,16	141,69	--	--	18,18
Карнитин - РСЯ - Нижний Новгород	596	5	0,84	21,25	--	--	--
Bcaa - РСЯ - Нижний Новгород	617	6	0,97	52,85	--	--	25,00
Изолят - РСЯ - Нижний Новгород	191	2	1,05	9,27	--	--	100,00
Гейнер - РСЯ - Нижний Новгород	120	1	0,83	9,00	--	--	0,00
Протеин - РСЯ - Нижний Новгород	477	5	1,05	54,07	--	--	0,00
Total rows: 22
