CampaignName	Impressions	Clicks	Ctr	Cost	Conversions_3024824726_LSC	Revenue_3024824726_LSC	BounceRate
Омега - Общая - Поиск - СПБ	219	9	4,11	83,24	--	--	22,22
Омега - Горячая - Поиск - СПБ	10	1	10,00	9,37	--	--	0,00
Изоляты - Общая - Поиск - СПБ	913	38	4,16	828,27	--	--	29,63
Изоляты - Горячая - Поиск - СПБ	292	32	10,96	705,21	--	--	39,29
Динамические объявления - Поиск - Санкт-Петербург	5608	317	5,65	6103,98	1	1190,00	32,65
Гейнер - Общая - Поиск - СПБ	1735	90	5,19	1436,51	1	990,00	9,88
Гейнер - Горячая - Поиск - СПБ	959	111	11,57	1258,21	1	3952,00	19,63
Протеин - Горячая - Поиск - СПБ	4119	414	10,05	8653,13	2	1580,00	15,80
Протеин - Общая - Поиск - СПБ	4834	258	5,34	4525,20	--	--	16,10
МКб по категориям - Поиск - СПБ	11157	78	0,70	4725,44	1	2080,00	17,11
Bcaa - Общие - Поиск - СПБ	558	15	2,69	169,80	--	--	7,14
Bcaa - Горячие - Поиск - СПБ	389	45	11,57	751,42	--	--	18,60
МКБ на конкурентов - Поиск - Санкт-Петербург	3656	13	0,36	2037,38	--	--	0,00
Карнитин - Горячие - Поиск - СПБ	1407	144	10,23	3266,31	4	5645,00	19,55
Карнитин - Общие - Поиск - СПБ	1540	105	6,82	3570,25	--	--	29,17
Ретаргет общий - Посетит 45 дн кроме покуп за последн 14 дн - Сети - Санкт-Петербург	13850	110	0,79	2044,10	1	850,00	30,26
Конкуренты - Поиск - Санкт-Петербург	6171	70	1,13	2593,02	--	--	26,79
Бренд - РСЯ - Санкт-Петербург	243	1	0,41	14,98	--	--	0,00
Карнитин - РСЯ - Санкт-Петербург	544	3	0,55	45,10	--	--	33,33
Bcaa - РСЯ - Санкт-Петербург	853	9	1,06	105,71	--	--	28,57
Изолят - РСЯ - Санкт-Петербург	105	0	0,00	0,00	--	--	--
Гейнер - РСЯ - Санкт-Петербург	233	4	1,72	58,40	--	--	0,00
Протеин - РСЯ - Санкт-Петербург	1976	18	0,91	219,31	--	--	20,00
Total rows: 23
