CampaignName	Impressions	Clicks	Ctr	Cost	Conversions	Revenue	BounceRate
Брендовая - Поиск - РФ	95	15	15,79	945,60	2	0,00	9,09
Программа - Общие холодные - Поиск - РФ	6820	548	8,04	13184,61	13	0,00	31,46
Конкуренты - Домены - Поиск - РФ	7241	43	0,59	3290,90	--	0,00	37,04
Теплые - Поиск - РФ	53488	1512	2,83	77961,85	15	0,00	35,74
Холодные - Поиск - РФ	19435	257	1,32	19461,85	3	0,00	47,37
Конкуренты - Программа - Поиск - РФ	7788	329	4,22	13677,09	6	0,00	33,58
Программа - Общие горячие - Поиск - РФ	79	17	21,52	522,70	--	0,00	40,00
Холодные - Сети - РФ	204815	129	0,06	3719,22	1	0,00	45,83
Программа - Общие горячие - Сети - РФ	2955	1	0,03	14,11	--	0,00	0,00
Брендовая - Сети - РФ	293958	77	0,03	1407,17	3	0,00	34,15
Теплые - Сети - РФ	3700623	1067	0,03	25685,19	13	0,00	39,70
Конкуренты - Домены - Сети - РФ	51896	53	0,10	812,07	--	0,00	52,00
Конкуренты - Программа - Сети - РФ	23570	10	0,04	123,85	--	0,00	28,57
Программа - Общие холодные - Сети - РФ	2338048	944	0,04	22741,15	13	0,00	39,74
План эвакуации - Горячие - Поиск - РФ	3116	166	5,33	7495,74	7	0,00	27,14
План эвакуации - Сети - РФ	156871	269	0,17	5494,75	12	0,00	22,42
Nanocad - Горячие - Поиск - РФ	850	44	5,18	2016,71	--	0,00	12,82
Nanocad - Холодные - Поиск - РФ	2239	48	2,14	4815,93	--	0,00	22,73
Nanocad - Сети - РФ	1028764	1113	0,11	27764,05	10	0,00	15,45
Total rows: 19
